Species,Phonotypes,RMSE.A,Res.B
22,7,7.995673164,0.449314134
23,7,8.554341805,0.459937834
24,7,9.11776179,0.467200683
25,7,9.687328739,0.47088148
26,7,10.2411701,0.479207504
27,7,10.79400036,0.489708011
28,7,11.36889567,0.491673276
29,7,11.93517104,0.498188804
30,7,12.48914642,0.505601355
31,7,13.05579252,0.509296222
32,7,13.60458574,0.517016933
33,7,14.17901461,0.52155788
34,7,14.74272,0.527119727
35,7,15.3094967,0.530406832
36,7,15.89270481,0.535144507
37,7,16.44978759,0.538594179
38,7,17.01876064,0.544018177
39,7,17.58704349,0.546701455
40,7,18.16057316,0.550833881
41,7,18.7122815,0.55681706
42,7,19.27834835,0.559507651
43,7,19.87360128,0.56037321
44,7,20.41979213,0.565402063
45,7,20.99204176,0.566229976
46,7,21.56906721,0.570746349
47,7,22.12799438,0.57464157
48,7,22.70788952,0.577103106
49,7,23.27516058,0.580652205
50,7,23.81945338,0.584994098
8,8,0,0
9,8,0.559756906,0.089792215
10,8,1.032887905,0.150888869
11,8,1.524892694,0.196802072
12,8,2.035768228,0.231005626
13,8,2.555742052,0.259611139
14,8,3.081469533,0.284043242
15,8,3.615981118,0.30395277
16,8,4.157991713,0.321152354
17,8,4.695691216,0.338829525
18,8,5.243500155,0.351829176
19,8,5.791758515,0.364057803
20,8,6.345737738,0.375462895
21,8,6.895604581,0.385016276
22,8,7.448095878,0.395427069
23,8,8.009883289,0.402093522
24,8,8.557682097,0.413189819
25,8,9.124379997,0.419247375
26,8,9.685769876,0.426756379
27,8,10.22515482,0.437097839
28,8,10.79657952,0.440798197
29,8,11.35396326,0.449758183
30,8,11.92627153,0.452614405
31,8,12.5002232,0.456898933
32,8,13.04244862,0.464399374
33,8,13.62040606,0.469587075
34,8,14.18199443,0.473534477
35,8,14.75033139,0.477882013
36,8,15.31476162,0.481357234
37,8,15.88740536,0.486859739
38,8,16.4683985,0.48809016
39,8,17.00683961,0.495223523
40,8,17.5745799,0.500718477
41,8,18.16101411,0.500863075
42,8,18.69866875,0.508753663
43,8,19.27939744,0.507294878
44,8,19.85904407,0.511848548
45,8,20.41620051,0.517177427
46,8,20.99259358,0.519394492
47,8,21.54501464,0.522041277
48,8,22.12436121,0.524037933
49,8,22.70014672,0.527493988
50,8,23.25906193,0.530750684
9,9,0,0
10,9,0.561018826,0.079506793
11,9,1.036416684,0.133989221
